# Z	N	A	e	B/A_MeV	name
81	115	196	82	7.9717	Octun-ium-196
82	115	197	83	7.9636	Octbi-ium-197
95	129	224	97	7.6525	Ennpent-ium-224
114	177	291	114	7.2534	Ununquad-ium-291
124	194	318	121	7.0497	Unbiquad-ium-318
114	176	290	113	7.2583	Ununquad-ium-290
109	160	269	109	7.3707	Unnilenn-ium-269
115	177	292	114	7.2346	Ununpent-ium-292
130	217	347	126	6.8873	Untrinil-ium-347
96	130	226	98	7.6343	Ennhex-ium-226
107	157	264	98	7.4109	Unnilsept-ium-264
97	131	228	99	7.6027	Ennsept-ium-228
130	218	348	126	6.8845	Untrinil-ium-348
98	132	230	100	7.5839	Ennoct-ium-230
110	161	271	110	7.3490	Ununnil-ium-271
99	133	232	101	7.5521	Ennenn-ium-232
115	178	293	115	7.2345	Ununpent-ium-293
121	180	301	125	7.1156	Unbiun-ium-301
83	116	199	83	7.9343	Octtri-ium-199
99	132	231	102	7.5485	Ennenn-ium-231
100	132	232	103	7.5178	Unnilnil-ium-232
101	146	247	98	7.5427	Unnilun-ium-247
100	133	233	103	7.5225	Unnilnil-ium-233
116	177	293	115	7.2190	Ununhex-ium-293
125	195	320	123	7.0266	Unbipent-ium-320
111	161	272	111	7.3234	Ununun-ium-272
98	133	231	100	7.5864	Ennoct-ium-231
117	177	294	116	7.1977	Ununsept-ium-294
125	196	321	123	7.0268	Unbipent-ium-321
111	162	273	111	7.3271	Ununun-ium-273
102	146	248	98	7.5227	Unnilbi-ium-248
121	181	302	125	7.1141	Unbiun-ium-302
108	157	265	98	7.3914	Unniloct-ium-265
122	194	316	128	7.0819	Unbibi-ium-316
116	179	295	117	7.2154	Ununhex-ium-295
65	83	148	57	8.3000	Hexpent-ium-148
122	182	304	125	7.0969	Unbibi-ium-304
116	180	296	117	7.2153	Ununhex-ium-296
97	138	235	98	7.6286	Ennsept-ium-235
112	163	275	112	7.3049	Ununbi-ium-275
66	83	149	58	8.2725	Hexhex-ium-149
113	164	277	113	7.2826	Ununtri-ium-277
117	181	298	118	7.1918	Ununsept-ium-298
109	157	266	99	7.3653	Unnilenn-ium-266
66	84	150	58	8.2876	Hexhex-ium-150
118	178	296	116	7.1815	Ununoct-ium-296
130	219	349	125	6.8780	Untrinil-ium-349
82	104	186	82	7.9148	Octbi-ium-186
118	182	300	119	7.1768	Ununoct-ium-300
65	84	149	57	8.3127	Hexpent-ium-149
112	158	270	104	7.2954	Ununbi-ium-270
119	182	301	120	7.1565	Ununenn-ium-301
123	194	317	132	7.0644	Unbitri-ium-317
112	159	271	104	7.2963	Ununbi-ium-271
130	220	350	124	6.8748	Untrinil-ium-350
119	183	302	120	7.1530	Ununenn-ium-302
98	135	233	100	7.5956	Ennoct-ium-233
123	195	318	131	7.0598	Unbitri-ium-318
131	221	352	125	6.8561	Untriun-ium-352
114	164	278	113	7.2603	Ununquad-ium-278
82	105	187	81	7.9206	Octbi-ium-187
125	197	322	124	7.0228	Unbipent-ium-322
124	192	316	120	7.0530	Unbiquad-ium-316
113	159	272	106	7.2665	Ununtri-ium-272
85	116	201	86	7.8859	Octpent-ium-201
120	179	299	118	7.1371	Unbinil-ium-299
100	135	235	102	7.5360	Unnilnil-ium-235
101	136	237	103	7.5106	Unnilun-ium-237
124	195	319	131	7.0457	Unbiquad-ium-319
98	139	237	100	7.6061	Ennoct-ium-237
113	160	273	105	7.2727	Ununtri-ium-273
119	184	303	120	7.1583	Ununenn-ium-303
115	164	279	114	7.2320	Ununpent-ium-279
66	85	151	59	8.2887	Hexhex-ium-151
107	151	258	103	7.4021	Unnilsept-ium-258
114	161	275	106	7.2489	Ununquad-ium-275
102	136	238	105	7.4809	Unnilbi-ium-238
99	139	238	100	7.5783	Ennenn-ium-238
131	222	353	123	6.8529	Untriun-ium-353
103	137	240	106	7.4487	Unniltri-ium-240
100	140	240	101	7.5610	Unnilnil-ium-240
113	166	279	113	7.2848	Ununtri-ium-279
113	167	280	113	7.2830	Ununtri-ium-280
